n,count(DISTINCT r)
"{date:1995/9/26,paperId:9509392}",24
"{date:1995/4/5,paperId:9504218}",12
"{date:None,paperId:109251}",11
"{date:1996/3/19,paperId:9603360}",9
"{date:1996/3/20,paperId:9603363}",87
"{date:1995/10/30,paperId:9510444}",9
"{date:None,paperId:210236}",72
"{date:None,paperId:108036}",17
"{date:None,paperId:10328}",94
"{date:None,paperId:106284}",5
"{date:None,paperId:210163}",14
"{date:1994/3/9,paperId:9403253}",27
"{date:1997/8/28,paperId:9708479}",15
"{date:1997/4/24,paperId:9704398}",38
"{date:1996/11/7,paperId:9611271}",2
"{date:1999/7/14,paperId:9907349}",13
"{date:1997/6/9,paperId:9706290}",9
"{date:None,paperId:202037}",67
"{date:1996/12/1,paperId:9612218}",33
"{date:1994/9/1,paperId:9409204}",11
"{date:None,paperId:102059}",5
"{date:None,paperId:6283}",16
"{date:None,paperId:11304}",7
"{date:None,paperId:11302}",5
"{date:1996/8/6,paperId:9608234}",9
"{date:1997/6/3,paperId:9706223}",29
"{date:None,paperId:211133}",3
"{date:None,paperId:205066}",23
"{date:None,paperId:111371}",4
"{date:None,paperId:2191}",40
"{date:None,paperId:206240}",3
"{date:1995/12/5,paperId:9512243}",5
"{date:1998/5/18,paperId:9805352}",6
"{date:None,paperId:12335}",8
"{date:1995/6/13,paperId:9506322}",13
"{date:1998/10/8,paperId:9810285}",4
"{date:1998/7/31,paperId:9807566}",3
"{date:None,paperId:210308}",1
"{date:1995/6/19,paperId:9506360}",4
"{date:1997/11/3,paperId:9711205}",10
"{date:None,paperId:111105}",17
"{date:None,paperId:110147}",37
"{date:1993/10/5,paperId:9310225}",3
"{date:1993/10/5,paperId:9310228}",78
"{date:1998/2/17,paperId:9802338}",18
"{date:1996/6/3,paperId:9606213}",17
"{date:None,paperId:109030}",51
"{date:1995/3/31,paperId:9503485}",16
"{date:1998/11/6,paperId:9811258}",8
"{date:None,paperId:4171}",75
"{date:None,paperId:110227}",15
"{date:1993/7/10,paperId:9307241}",97
"{date:None,paperId:201133}",8
"{date:1993/11/15,paperId:9311294}",28
"{date:1997/12/16,paperId:9712396}",9
"{date:1997/11/12,paperId:9711309}",41
"{date:None,paperId:3231}",26
"{date:1997/4/15,paperId:9704331}",42
"{date:1992/9/18,paperId:9209255}",20
"{date:1997/3/13,paperId:9703313}",41
"{date:1995/7/5,paperId:9507228}",17
"{date:1995/4/27,paperId:9504415}",79
"{date:1995/3/27,paperId:9503448}",1
"{date:1995/10/4,paperId:9510224}",69
"{date:1999/7/29,paperId:9907541}",5
"{date:1994/11/22,paperId:9411357}",17
"{date:None,paperId:1080}",41
"{date:None,paperId:301083}",1
"{date:None,paperId:205134}",18
"{date:1993/3/4,paperId:9303224}",12
"{date:1996/10/31,paperId:9610549}",45
"{date:1998/11/10,paperId:9811289}",13
"{date:1999/11/24,paperId:9911470}",24
"{date:None,paperId:212376}",8
"{date:1999/12/8,paperId:9912272}",27
"{date:1993/12/9,paperId:9312251}",37
"{date:None,paperId:207058}",41
"{date:None,paperId:108012}",13
"{date:None,paperId:103028}",46
"{date:1999/2/8,paperId:9902268}",22
"{date:None,paperId:201247}",20
"{date:None,paperId:10331}",4
"{date:None,paperId:207359}",18
"{date:None,paperId:209237}",14
"{date:1995/11/6,paperId:9511247}",2
"{date:1996/9/13,paperId:9609346}",11
"{date:None,paperId:112191}",43
"{date:1997/11/15,paperId:9711341}",3
"{date:None,paperId:301068}",51
"{date:None,paperId:3226}",5
"{date:None,paperId:109143}",6
"{date:1997/9/11,paperId:9709308}",1
"{date:None,paperId:103134}",19
"{date:None,paperId:104212}",1
"{date:None,paperId:107259}",10
"{date:None,paperId:101285}",2
"{date:1999/10/11,paperId:9910291}",69
"{date:1997/6/24,paperId:9706495}",16
"{date:1999/8/28,paperId:9908492}",7
"{date:1996/11/14,paperId:9611330}",3
"{date:None,paperId:101234}",3
"{date:1997/11/27,paperId:9711493}",3
"{date:1996/9/26,paperId:9609484}",8
"{date:None,paperId:109190}",12
"{date:None,paperId:102041}",25
"{date:None,paperId:112310}",53
"{date:1997/3/14,paperId:9703325}",3
"{date:1993/5/10,paperId:9305235}",8
"{date:None,paperId:1308}",21
"{date:None,paperId:6164}",23
"{date:1994/3/7,paperId:9403232}",6
"{date:1993/2/1,paperId:9302201}",25
"{date:1995/9/20,paperId:9509339}",9
"{date:None,paperId:105296}",19
"{date:1997/4/10,paperId:9704287}",70
"{date:None,paperId:9074}",10
"{date:1999/9/15,paperId:9909380}",8
"{date:1996/5/28,paperId:9605424}",11
"{date:None,paperId:205313}",2
"{date:1996/11/14,paperId:9611331}",25
"{date:None,paperId:12026}",77
"{date:1994/9/28,paperId:9409432}",13
"{date:1993/4/29,paperId:9304316}",9
"{date:1993/7/20,paperId:9307305}",1
"{date:1998/9/29,paperId:9809582}",100
"{date:1995/5/9,paperId:9505267}",39
"{date:1992/8/14,paperId:9208227}",11
"{date:1993/6/4,paperId:9306224}",12
"{date:1997/4/3,paperId:9704223}",22
"{date:1995/6/29,paperId:9506455}",27
"{date:1999/4/27,paperId:9904459}",14
"{date:1993/12/17,paperId:9312302}",29
"{date:None,paperId:3193}",6
"{date:1995/3/14,paperId:9503322}",5
"{date:1996/8/5,paperId:9608225}",6
"{date:1996/6/19,paperId:9606383}",67
"{date:1998/5/11,paperId:9805289}",42
"{date:None,paperId:212230}",31
"{date:1999/9/13,paperId:9909353}",59
"{date:1996/4/29,paperId:9604428}",11
"{date:1995/4/10,paperId:9504269}",48
"{date:1999/2/16,paperId:9902371}",206
"{date:1995/12/21,paperId:9512385}",16
"{date:1995/6/6,paperId:9506249}",12
"{date:1994/2/3,paperId:9402218}",18
"{date:1999/9/6,paperId:9909265}",117
"{date:1994/10/4,paperId:9410210}",4
"{date:None,paperId:104303}",4
"{date:1993/9/20,paperId:9309298}",57
"{date:1998/6/6,paperId:9806297}",6
"{date:1999/9/17,paperId:9909414}",15
"{date:1997/12/5,paperId:9712272}",8
"{date:1998/6/3,paperId:9806247}",5
"{date:None,paperId:2077}",27
"{date:None,paperId:111404}",21
"{date:1999/7/27,paperId:9907505}",57
"{date:1995/4/25,paperId:9504391}",1
"{date:1999/5/24,paperId:9905468}",18
"{date:None,paperId:207329}",2
"{date:1992/7/3,paperId:9207214}",301
"{date:None,paperId:204082}",7
"{date:None,paperId:210221}",12
"{date:None,paperId:208111}",7
"{date:None,paperId:103108}",10
"{date:None,paperId:10269}",2
"{date:None,paperId:105133}",7
"{date:1999/12/26,paperId:9912508}",4
"{date:1997/3/24,paperId:9703395}",19
"{date:1997/11/20,paperId:9711409}",19
"{date:None,paperId:211390}",5
"{date:None,paperId:12131}",9
"{date:1998/12/9,paperId:9812294}",4
"{date:None,paperId:1273}",31
"{date:None,paperId:205265}",27
"{date:1999/6/25,paperId:9906501}",47
"{date:None,paperId:1164}",15
"{date:1996/9/8,paperId:9609288}",1
"{date:1995/11/13,paperId:9511306}",6
"{date:None,paperId:7204}",1
"{date:None,paperId:104075}",12
"{date:None,paperId:103343}",36
"{date:1999/9/6,paperId:9909256}",33
"{date:1999/9/30,paperId:9909570}",28
"{date:1992/11/18,paperId:9211269}",1
"{date:None,paperId:11239}",3
"{date:1993/3/29,paperId:9303313}",22
"{date:None,paperId:202098}",12
"{date:1997/4/3,paperId:9704225}",38
"{date:1994/9/26,paperId:9409413}",10
"{date:1996/9/12,paperId:9609337}",29
"{date:1993/3/16,paperId:9303269}",10
"{date:1994/6/2,paperId:9406217}",4
"{date:1996/5/6,paperId:9605228}",5
"{date:1999/10/28,paperId:9910535}",22
"{date:1995/2/7,paperId:9502244}",5
"{date:None,paperId:3020}",28
"{date:1994/5/6,paperId:9405241}",99
"{date:None,paperId:112074}",34
"{date:None,paperId:102308}",29
"{date:None,paperId:4182}",11
"{date:None,paperId:1334}",82
"{date:1998/9/4,paperId:9809263}",35
"{date:1999/12/10,paperId:9912300}",5
"{date:1998/5/27,paperId:9805473}",62
"{date:None,paperId:6097}",71
"{date:1995/3/29,paperId:9503464}",91
"{date:1994/6/11,paperId:9406279}",3
"{date:None,paperId:107293}",28
"{date:None,paperId:106176}",39
"{date:1997/12/23,paperId:9712510}",17
"{date:None,paperId:7108}",82
"{date:1993/12/1,paperId:9312210}",50
"{date:1996/4/22,paperId:9604379}",22
"{date:1995/7/11,paperId:9507277}",11
"{date:1998/6/18,paperId:9806410}",1
"{date:None,paperId:102277}",18
"{date:1995/10/17,paperId:9510323}",18
"{date:None,paperId:104029}",8
"{date:None,paperId:5271}",6
"{date:1994/3/24,paperId:9403354}",3
"{date:None,paperId:207307}",24
"{date:1998/9/15,paperId:9809387}",26
"{date:1998/7/3,paperId:9807240}",6
"{date:None,paperId:2298}",7
"{date:None,paperId:209348}",6
"{date:None,paperId:112278}",49
"{date:None,paperId:105059}",17
"{date:1999/2/17,paperId:9902377}",5
"{date:None,paperId:105162}",11
"{date:None,paperId:302049}",15
"{date:1999/1/7,paperId:9901240}",5
"{date:None,paperId:12277}",8
"{date:None,paperId:103073}",16
"{date:None,paperId:5136}",28
"{date:None,paperId:106106}",10
"{date:None,paperId:2146}",2
"{date:None,paperId:102230}",20
"{date:None,paperId:211138}",8
"{date:None,paperId:208239}",5
"{date:1996/6/7,paperId:9606276}",13
"{date:1995/1/10,paperId:9501263}",29
"{date:1999/5/28,paperId:9905540}",10
"{date:None,paperId:204358}",15
"{date:None,paperId:11071}",18
"{date:1995/12/13,paperId:9512299}",11
"{date:None,paperId:111198}",174
"{date:None,paperId:211245}",35
"{date:1998/9/3,paperId:9809245}",32
"{date:None,paperId:5171}",5
"{date:1997/8/15,paperId:9708368}",12
"{date:1997/2/14,paperId:9702340}",12
"{date:1999/12/17,paperId:9912400}",4
"{date:1996/8/21,paperId:9608392}",35
"{date:1998/9/17,paperId:9809435}",10
"{date:None,paperId:1075}",31
"{date:1996/8/6,paperId:9608246}",18
"{date:1994/7/4,paperId:9407216}",7
"{date:1992/9/15,paperId:9209238}",17
"{date:None,paperId:207003}",39
"{date:None,paperId:106203}",24
"{date:1997/8/26,paperId:9708464}",18
"{date:1994/12/13,paperId:9412292}",1
"{date:1999/6/3,paperId:9906238}",29
"{date:1993/7/13,paperId:9307257}",4
"{date:1992/7/15,paperId:9207241}",9
"{date:1998/7/30,paperId:9807549}",35
"{date:None,paperId:111052}",22
"{date:None,paperId:102020}",14
"{date:1995/11/23,paperId:9511399}",30
"{date:1993/9/7,paperId:9309234}",52
"{date:1999/11/4,paperId:9911237}",49
"{date:1994/8/18,paperId:9408313}",38
"{date:None,paperId:105057}",34
"{date:1993/11/10,paperId:9311261}",15
"{date:1995/7/7,paperId:9507264}",8
"{date:None,paperId:211043}",41
"{date:1999/10/1,paperId:9910205}",169
"{date:None,paperId:201128}",38
"{date:None,paperId:7339}",40
"{date:1995/3/5,paperId:9503236}",53
"{date:None,paperId:103071}",17
"{date:1995/7/21,paperId:9507379}",49
"{date:1996/7/2,paperId:9607220}",28
"{date:1998/5/7,paperId:9805253}",13
"{date:1997/7/22,paperId:9707417}",9
"{date:None,paperId:201158}",22
"{date:1994/12/1,paperId:9412213}",16
"{date:1994/12/4,paperId:9412226}",3
"{date:1997/9/12,paperId:9709320}",57
"{date:None,paperId:211228}",30
"{date:1999/6/10,paperId:9906328}",7
"{date:None,paperId:202183}",1
"{date:None,paperId:207017}",6
"{date:1993/11/6,paperId:9311234}",5
"{date:None,paperId:12253}",10
"{date:None,paperId:211174}",2
"{date:None,paperId:106121}",7
"{date:1997/9/26,paperId:9709472}",11
"{date:1996/6/4,paperId:9606226}",18
"{date:1996/10/7,paperId:9610270}",14
"{date:1999/1/15,paperId:9901325}",3
"{date:1997/3/23,paperId:9703394}",4
"{date:None,paperId:102066}",10
"{date:1997/7/29,paperId:9707507}",13
"{date:None,paperId:205146}",23
"{date:1996/8/8,paperId:9608267}",2
"{date:1996/12/17,paperId:9612386}",5
"{date:1999/1/27,paperId:9901431}",39
"{date:1995/10/29,paperId:9510440}",8
"{date:1997/2/7,paperId:9702290}",11
"{date:1998/9/30,paperId:9809591}",6
"{date:1994/4/19,paperId:9404297}",39
"{date:None,paperId:209032}",23
"{date:1994/6/10,paperId:9406277}",6
"{date:1994/4/7,paperId:9404224}",4
"{date:None,paperId:111021}",6
"{date:1999/9/8,paperId:9909282}",12
"{date:1997/7/5,paperId:9707253}",10
"{date:None,paperId:204340}",13
"{date:1994/11/30,paperId:9411442}",2
"{date:1993/10/19,paperId:9310312}",21
"{date:1997/5/28,paperId:9705445}",19
"{date:1997/8/1,paperId:9708216}",17
"{date:1993/4/10,paperId:9304243}",7
"{date:1998/4/21,paperId:9804357}",28
"{date:1996/12/23,paperId:9612454}",47
"{date:1997/6/7,paperId:9706279}",31
"{date:1997/4/22,paperId:9704375}",19
"{date:1998/3/23,paperId:9803426}",26
"{date:None,paperId:4243}",21
"{date:1999/3/9,paperId:9903298}",90
"{date:1994/9/29,paperId:9409438}",30
"{date:1997/1/23,paperId:9701355}",4
"{date:1996/11/12,paperId:9611310}",37
"{date:None,paperId:5260}",102
"{date:1999/12/15,paperId:9912353}",29
"{date:None,paperId:202114}",10
"{date:1998/10/22,paperId:9810455}",5
"{date:None,paperId:2117}",17
"{date:1997/10/30,paperId:9710550}",68
"{date:1996/8/13,paperId:9608312}",5
"{date:1996/11/12,paperId:9611312}",25
"{date:1998/1/12,paperId:9801269}",135
"{date:1998/1/19,paperId:9801340}",8
"{date:1999/7/1,paperId:9907205}",16
"{date:None,paperId:211115}",14
"{date:1997/7/25,paperId:9707471}",4
"{date:1999/7/30,paperId:9907572}",69
"{date:None,paperId:102139}",11
"{date:None,paperId:104089}",2
"{date:None,paperId:210088}",15
"{date:1997/3/26,paperId:9703429}",91
"{date:1995/2/27,paperId:9502391}",39
"{date:None,paperId:208086}",15
"{date:1997/6/2,paperId:9706216}",7
"{date:1997/11/28,paperId:9711500}",3
"{date:1999/4/3,paperId:9904222}",2
"{date:1995/12/26,paperId:9512425}",57
"{date:None,paperId:105020}",4
"{date:1999/10/26,paperId:9910486}",11
"{date:None,paperId:11166}",1
"{date:None,paperId:5244}",24
"{date:None,paperId:201037}",1
"{date:1997/8/26,paperId:9708462}",8
"{date:None,paperId:201215}",8
"{date:None,paperId:10034}",20
"{date:None,paperId:103114}",2
"{date:None,paperId:105239}",49
"{date:None,paperId:210234}",9
"{date:1998/3/10,paperId:9803292}",9
"{date:None,paperId:1180}",18
"{date:None,paperId:210237}",11
"{date:1994/6/9,paperId:9406269}",2
"{date:1999/1/4,paperId:9901211}",6
"{date:1992/4/28,paperId:9204235}",2
"{date:None,paperId:208266}",50
"{date:None,paperId:102067}",14
"{date:1995/6/30,paperId:9506469}",10
"{date:None,paperId:105030}",25
"{date:None,paperId:7228}",60
"{date:1997/7/2,paperId:9707219}",3
"{date:1997/4/11,paperId:9704299}",24
"{date:None,paperId:105151}",9
"{date:None,paperId:110104}",63
"{date:1995/5/24,paperId:9505371}",3
"{date:1994/8/25,paperId:9408372}",2
"{date:None,paperId:107150}",63
"{date:None,paperId:107233}",22
"{date:None,paperId:12137}",33
"{date:None,paperId:212147}",64
"{date:1999/9/14,paperId:9909371}",12
"{date:None,paperId:107149}",16
"{date:None,paperId:6127}",18
"{date:1993/3/31,paperId:9303322}",8
"{date:1996/3/6,paperId:9603241}",4
"{date:1996/3/22,paperId:9603377}",37
"{date:1998/12/21,paperId:9812459}",23
"{date:1997/12/11,paperId:9712340}",28
"{date:None,paperId:6226}",4
"{date:1997/10/23,paperId:9710450}",27
"{date:None,paperId:7193}",16
"{date:1996/5/7,paperId:9605239}",14
"{date:1994/1/3,paperId:9401203}",11
"{date:1995/5/23,paperId:9505363}",9
"{date:1995/2/8,paperId:9502252}",65
"{date:1996/2/28,paperId:9602418}",16
"{date:None,paperId:102184}",38
"{date:1999/6/29,paperId:9906534}",30
"{date:1998/10/1,paperId:9810204}",31
"{date:None,paperId:10238}",11
"{date:None,paperId:7208}",116
"{date:1997/11/19,paperId:9711379}",3
"{date:None,paperId:302180}",49
"{date:1996/11/3,paperId:9611217}",70
"{date:None,paperId:301098}",15
"{date:1996/4/11,paperId:9604300}",12
"{date:None,paperId:1064}",15
"{date:1996/1/18,paperId:9601292}",13
"{date:1994/7/22,paperId:9407358}",3
"{date:1998/2/6,paperId:9802261}",1
"{date:None,paperId:5101}",40
"{date:None,paperId:11066}",7
"{date:None,paperId:104013}",9
"{date:1996/1/26,paperId:9601342}",11
"{date:None,paperId:202159}",12
"{date:None,paperId:302240}",7
"{date:1994/5/11,paperId:9405264}",1
"{date:1997/1/6,paperId:9701220}",3
"{date:None,paperId:111274}",11
"{date:None,paperId:106336}",57
"{date:1997/7/3,paperId:9707231}",14
"{date:1995/12/24,paperId:9512416}",13
"{date:None,paperId:103154}",45
"{date:1996/5/30,paperId:9605435}",2
"{date:None,paperId:111297}",30
"{date:None,paperId:209172}",2
"{date:1998/5/14,paperId:9805326}",8
"{date:1998/2/18,paperId:9802355}",59
"{date:1995/3/9,paperId:9503280}",128
"{date:None,paperId:107255}",14
"{date:None,paperId:106285}",45
"{date:None,paperId:207284}",5
"{date:None,paperId:9042}",26
"{date:1994/12/29,paperId:9412388}",1
"{date:None,paperId:4065}",28
"{date:1999/9/29,paperId:9909544}",9
"{date:1992/5/13,paperId:9205218}",1
"{date:1998/10/12,paperId:9810329}",16
"{date:None,paperId:104263}",33
"{date:None,paperId:106143}",3
"{date:1997/9/4,paperId:9709234}",10
"{date:None,paperId:212391}",22
"{date:1996/12/5,paperId:9612265}",22
"{date:None,paperId:6271}",32
"{date:None,paperId:109109}",21
"{date:1998/6/5,paperId:9806282}",34
"{date:None,paperId:11100}",7
"{date:1999/4/5,paperId:9904235}",8
"{date:1998/9/24,paperId:9809524}",49
"{date:1997/8/13,paperId:9708337}",8
"{date:None,paperId:302128}",2
"{date:1994/10/21,paperId:9410342}",47
"{date:1998/10/2,paperId:9810223}",18
"{date:None,paperId:104276}",14
"{date:1998/11/4,paperId:9811247}",30
"{date:1994/3/10,paperId:9403263}",7
"{date:1994/12/2,paperId:9412222}",6
"{date:None,paperId:210374}",21
"{date:None,paperId:210069}",4
"{date:1996/8/20,paperId:9608376}",7
"{date:1993/11/30,paperId:9311374}",15
"{date:1998/8/14,paperId:9808331}",20
"{date:1995/12/11,paperId:9512280}",20
"{date:None,paperId:102013}",57
"{date:1996/7/29,paperId:9607459}",29
"{date:1993/11/12,paperId:9311282}",8
"{date:1998/10/27,paperId:9810500}",88
"{date:1993/2/9,paperId:9302236}",1
"{date:1999/8/2,paperId:9908219}",40
"{date:1997/2/5,paperId:9702262}",12
"{date:1997/12/16,paperId:9712392}",92
"{date:None,paperId:107028}",25
"{date:1995/1/31,paperId:9501417}",35
"{date:None,paperId:103186}",10
"{date:None,paperId:5029}",25
"{date:None,paperId:108033}",43
"{date:1994/3/14,paperId:9403285}",8
"{date:None,paperId:211329}",3
"{date:None,paperId:3169}",41
"{date:None,paperId:106297}",3
"{date:None,paperId:5221}",38
"{date:1998/11/18,paperId:9811390}",150
"{date:1996/11/11,paperId:9611298}",6
"{date:1998/7/13,paperId:9807349}",102
"{date:None,paperId:203253}",11
"{date:None,paperId:210064}",9
"{date:1994/8/22,paperId:9408341}",2
"{date:1998/8/24,paperId:9808399}",5
"{date:None,paperId:110368}",2
"{date:1993/8/23,paperId:9308318}",19
"{date:1997/4/2,paperId:9704208}",3
"{date:1994/5/18,paperId:9405321}",6
"{date:1998/5/7,paperId:9805244}",45
"{date:1997/9/12,paperId:9709324}",27
"{date:1998/12/22,paperId:9812473}",8
"{date:1998/12/24,paperId:9812495}",32
"{date:None,paperId:4119}",20
"{date:1999/4/22,paperId:9904424}",2
"{date:1995/7/21,paperId:9507369}",6
"{date:None,paperId:109033}",8
"{date:None,paperId:101190}",19
"{date:None,paperId:205183}",9
"{date:1999/9/17,paperId:9909420}",2
"{date:1998/10/9,paperId:9810312}",8
"{date:None,paperId:106269}",4
"{date:None,paperId:210037}",26
"{date:None,paperId:211340}",25
"{date:None,paperId:6142}",2
"{date:1995/5/15,paperId:9505309}",8
"{date:1998/11/19,paperId:9811393}",12
"{date:1998/6/5,paperId:9806269}",6
"{date:None,paperId:103087}",46
"{date:1998/12/29,paperId:9812512}",2
"{date:None,paperId:8044}",67
"{date:None,paperId:5069}",43
"{date:1996/6/5,paperId:9606250}",3
"{date:1997/6/3,paperId:9706237}",1
"{date:1993/9/13,paperId:9309258}",3
"{date:1997/10/29,paperId:9710526}",27
"{date:None,paperId:111288}",16
"{date:None,paperId:204093}",37
"{date:1999/12/30,paperId:9912547}",65
"{date:None,paperId:109285}",7
"{date:1996/5/20,paperId:9605356}",18
"{date:1998/10/30,paperId:9810549}",26
"{date:1994/7/20,paperId:9407338}",35
"{date:None,paperId:202064}",45
"{date:1998/4/30,paperId:9804453}",36
"{date:None,paperId:2286}",77
"{date:None,paperId:101180}",27
"{date:None,paperId:3165}",49
"{date:1996/9/10,paperId:9609308}",9
"{date:None,paperId:6178}",13
"{date:1999/8/2,paperId:9908212}",43
"{date:None,paperId:111099}",50
"{date:1995/9/13,paperId:9509284}",11
"{date:1994/11/1,paperId:9411201}",15
"{date:1992/5/8,paperId:9205210}",34
"{date:1997/5/1,paperId:9705206}",27
"{date:1994/3/3,paperId:9403224}",143
"{date:None,paperId:210283}",27
"{date:1996/10/7,paperId:9610267}",42
"{date:1998/11/5,paperId:9811250}",26
"{date:1994/10/26,paperId:9410388}",60
"{date:1997/11/14,paperId:9711335}",18
"{date:None,paperId:204013}",8
"{date:1993/5/7,paperId:9305230}",18
"{date:1995/3/10,paperId:9503306}",25
"{date:None,paperId:101248}",36
"{date:None,paperId:101114}",10
"{date:None,paperId:12228}",12
"{date:1995/6/22,paperId:9506398}",64
"{date:1996/11/28,paperId:9611459}",7
"{date:None,paperId:104271}",43
"{date:1999/8/27,paperId:9908488}",26
"{date:1997/10/17,paperId:9710385}",10
"{date:1993/11/24,paperId:9311357}",90
"{date:1997/4/11,paperId:9704293}",4
"{date:1998/4/16,paperId:9804303}",3
"{date:1994/10/3,paperId:9410203}",29
"{date:1998/12/2,paperId:9812227}",4
"{date:None,paperId:105237}",11
"{date:1993/11/22,paperId:9311333}",6
"{date:1999/10/14,paperId:9910346}",39
"{date:None,paperId:6117}",7
"{date:None,paperId:9306}",3
"{date:None,paperId:211177}",2
"{date:None,paperId:208102}",33
"{date:1998/10/15,paperId:9810371}",92
"{date:1998/4/29,paperId:9804443}",23
"{date:1997/10/29,paperId:9710527}",13
"{date:None,paperId:208101}",29
"{date:None,paperId:2184}",15
"{date:None,paperId:106069}",34
"{date:None,paperId:107120}",37
"{date:1999/7/13,paperId:9907329}",6
"{date:None,paperId:207346}",13
"{date:1994/6/23,paperId:9406377}",6
"{date:None,paperId:204241}",18
"{date:None,paperId:112259}",40
"{date:1995/2/1,paperId:9502208}",3
"{date:None,paperId:12095}",4
"{date:1993/11/30,paperId:9311378}",5
"{date:1999/2/10,paperId:9902303}",22
"{date:1998/1/28,paperId:9801427}",4
"{date:1998/9/8,paperId:9809298}",22
"{date:1992/7/1,paperId:9207203}",3
"{date:1995/3/15,paperId:9503333}",15
"{date:1999/10/25,paperId:9910479}",9
"{date:None,paperId:112139}",8
"{date:None,paperId:108221}",35
"{date:1998/7/26,paperId:9807501}",140
"{date:None,paperId:11228}",8
"{date:None,paperId:107039}",71
"{date:None,paperId:108242}",33
"{date:1995/11/28,paperId:9511441}",3
"{date:None,paperId:112249}",19
"{date:1995/10/30,paperId:9510447}",29
"{date:None,paperId:204218}",41
"{date:1995/12/18,paperId:9512338}",16
"{date:1999/9/7,paperId:9909279}",37
"{date:None,paperId:202034}",41
"{date:None,paperId:5185}",23
"{date:1999/4/26,paperId:9904455}",17
"{date:None,paperId:112170}",1
"{date:1999/1/20,paperId:9901362}",176
"{date:1997/7/16,paperId:9707360}",11
"{date:None,paperId:9087}",17
"{date:1995/7/26,paperId:9507427}",12
"{date:1995/2/22,paperId:9502363}",72
"{date:None,paperId:207167}",17
"{date:None,paperId:1299}",44
"{date:1995/4/11,paperId:9504279}",28
"{date:1995/3/17,paperId:9503362}",35
"{date:None,paperId:211332}",5
"{date:1996/1/3,paperId:9601206}",18
"{date:1995/12/20,paperId:9512354}",17
"{date:None,paperId:102169}",29
"{date:1995/1/25,paperId:9501379}",42
"{date:1999/4/28,paperId:9904481}",16
"{date:1995/1/17,paperId:9501322}",6
"{date:1995/10/16,paperId:9510301}",133
"{date:1997/11/24,paperId:9711438}",15
"{date:1996/10/10,paperId:9610313}",45
"{date:1998/12/2,paperId:9812218}",1
"{date:1994/5/3,paperId:9405207}",111
"{date:1997/10/2,paperId:9710221}",10
"{date:None,paperId:101153}",2
"{date:1996/1/17,paperId:9601286}",24
"{date:None,paperId:212287}",12
"{date:1999/6/16,paperId:9906380}",7
"{date:1992/9/29,paperId:9209295}",1
"{date:1999/9/14,paperId:9909365}",15
"{date:None,paperId:112128}",17
"{date:1998/10/26,paperId:9810486}",13
"{date:None,paperId:205339}",13
"{date:None,paperId:210429}",45
